,Age.Participant.Public.ID,Gender_score,Age_score,Ethnicity_score,English_score,Education_score
44,5f020e0ab1a7a90a1aab3bfa,1,24,1,2,4
45,5e85eda5501bc3035b24d9eb,1,30,1,2,4
46,5f0776cae87b6a168924dd2b,1,28,1,2,4
47,5ea9fdf797d3bc1683662ad4,1,19,1,2,1
48,57fe6296035f6e0001d71d05,2,28,1,2,2
49,5ed30058c83c3f28a19ed91b,2,19,1,2,1
50,5f272230a9ddbc4ec5983a8c,1,53,4,1,1
51,5e551bdb4f51d6000b8eb12a,2,23,1,2,3
52,5db0765007ed32001657a766,1,24,1,1,1
53,5f508e4bbc50f51fa7764f81,2,31,1,2,2
54,5ed4e007cb34a10121e14bf1,1,31,1,2,4
55,5e1799e2b84e3e000cd6f9b0,2,24,1,2,1
56,5f4b57f6bfcaa80164de9c13,2,22,1,2,1
57,5f0e13040fa43b1294cad639,2,24,1,1,4
58,5f4ed511a3e14111f0ed35b2,1,23,1,2,3
59,5f4e5955e4fe380175925821,2,20,1,2,3
60,5c3d2c2f64293a000153824d,1,39,1,1,4
61,5ecfc4e722413102e68160ba,2,22,1,2,3
62,5edd0d2dc3b8629ec9de1eda,1,26,1,2,3
63,5ee3ed811359a50d752fa0fc,1,26,1,2,4
64,5f21ff288900cb4709dd49aa,1,60,1,2,3
65,5ce0202c18f742000174ce94,1,38,1,1,1
66,5edbdbdb406b0c09c7c89ba5,1,19,1,2,1
67,5e6c75d44b1e3722e888c075,2,19,1,2,Other
68,5ef0ad58328bb800082d9697,1,22,1,2,1
69,5e2d08e41f0add31f6221c2b,1,25,1,2,3
70,5eb0313851b70909b69e959d,2,27,1,1,3
71,5f36c09ef436400e38cc6ae1,1,29,1,2,3
72,5f3ee080aed318197f57c600,2,19,1,2,1
73,5ca0f4a20336360017b5f39a,2,26,1,2,1
74,5ed80ec219fa7f3026f62b2e,1,25,4,2,3
75,5f64ca3ee6c57f03e6b5dfe9,2,24,1,2,Other
76,5e90973f04391d3afd423ccf,2,45,1,1,3
77,5d67b4c31e367a0017273ecb,2,29,3,2,3
78,5d05174314af760019e2e32a,1,21,1,2,1
79,5d53ef5ee466b00001555819,1,63,Other,2,4
80,5ea868ce2396bd2a7b6696d3,1,31,1,2,Other
81,5f73427f244c770277ba2a5d,2,21,1,2,1
82,5e8f6ba57da4b324b99a3f4d,1,23,1,2,1
83,58725712327dab000199e1a1,2,30,1,2,4
84,5e7df5b7e28dab48b27cee4c,2,35,1,2,4
85,5ebe645556b9d91c0e5b0658,1,21,1,2,2
86,5dc1f43ab63adf1552dcb970,2,21,2,2,3
87,5e3048139f782a04559d2b4e,2,27,4,2,2
88,5f6223131640ed21ac644618,2,21,1,2,3
89,5f57f9b1352ec434316ec44f,1,21,1,1,2
90,5d6791dab903d4001561ad00,1,21,1,2,1
91,5ed77fb53194fc21631571db,2,21,1,2,1
92,5f4eb1b593b9990e6c536eb2,2,22,1,2,1
93,5dde894d83e309df96b835a2,1,23,1,2,2
94,5c5de570e1df700001ca7b90,2,35,1,2,4
95,5e7b98f76c68581ac48fc3e5,1,22,1,2,1
96,5f2885c27dda651b5ff718e9,2,23,1,2,1
97,5e70ed7e77bbac01812979cf,2,25,1,2,1
98,5cd615650f0de600198e733f,2,30,1,2,4
99,5f19ddfeae28d308a51d7c24,2,26,1,2,1
100,5b575632e62cbe000197b9d7,2,22,1,2,1
101,5f5de7ba9a3ef664001fe837,1,39,1,2,1
102,5f59fd09564c5602bff47e41,2,22,1,2,3
103,5f3c1b2e4b0c74a0d88332de,1,23,1,2,1
104,5eaea8068dc79856f600310d,2,18,1,2,1
105,5c840aedbad8fb000106cb44,2,21,1,2,1
106,5dd564dff78cf2519a797d41,1,21,1,2,1
107,5f46e1427a43dc0bef8df7d6,2,21,1,2,3
108,5f509d5a47022a214fab7d46,1,20,3,2,1
109,56114c0d7ffc8a000f811494,1,29,1,2,1
110,5f4d6f47e733dd18c888aab3,2,24,3,2,3
111,5e7a0af4af2487035ee7402e,1,25,1,2,Other
112,5f3715b49afb5d1923a183a6,2,31,1,2,2
113,5bb0b9f3f1f9ba00013fc0bb,1,50,1,1,4
114,5e823271acf2d506608ffec4,1,26,1,2,4
115,5df1078df9e75001269f9aef,2,28,1,2,2
116,5d11ece877c94600195c452a,2,41,1,2,1
117,5eb168a3c03c29253f361441,2,24,1,2,1
118,5eff9162a78aa106ea6a36ec,2,19,1,2,1
119,5e85de49adfff80121cc3d28,2,22,1,2,1
120,5f5a901b8b9d7015f013b024,1,21,1,2,1
121,5f2d146b3ea8e326751694bf,2,19,1,2,1
122,5ef1f827117de30be4b5f38c,2,19,1,2,1
123,5aae1ba0917b3b00010d494c,1,64,1,2,1
124,5ed2ae88ec79fd22e3a9a4f6,2,23,1,2,3
125,5f1c1455c0d4e50118c05e17,2,27,1,2,1
126,5cf16b38a602eb001fe2ec4e,1,27,1,2,3
127,5f514114b660443643aad749,1,20,1,2,1
128,5aeb68e4b59b0d00012e8720,2,33,Other,2,3
129,5d7aaf421b337b000174fcb7,2,22,1,2,2
130,5ce158cad4b2a30018dd695e,2,18,1,2,1
131,5aeb5186facfae0001c01a55,2,31,1,2,3
132,5c368011a05b4a000143acbc,1,24,1,2,3
133,5c590c5ea3ad9d00014de9c3,2,22,3,2,3
134,5f43b8cf94d648635fbb7cf1,1,18,1,2,Other
135,5d3c95ae98afa00015f636cb,2,22,1,2,1
136,5f4e0d1727bb980e228fc6a5,1,18,1,2,1
137,5e8a03c4ad5d5a698a763b4c,2,21,1,1,1
138,5c15270de32f860001660c67,2,22,1,2,1
139,5c071ea87967600001637beb,1,32,2,1,3
140,5e08b6c10db8921c4ee838d4,2,22,1,2,1
141,5f4e34a76cc10eb1addeb361,2,35,1,2,3
142,5ea749f7c82c761242fbdb55,1,28,2,2,3
143,5efa4069ebde2885697bfd2d,2,19,1,2,1
144,5ecd7c0104c6a70e566f039c,2,27,1,2,3
145,5deb9d5503356528d65d6bbb,2,18,1,2,1
146,5f68b8416b15d601691eddf7,2,24,1,2,1
147,5e5199ba54a6e71c7583966d,2,21,1,2,1
148,5e368b27c55e4560bdc352bf,1,34,1,1,3
149,5f4665236969590008ebd832,1,23,1,1,3
150,5f368cb09a5b93054e3a6b33,2,26,1,2,3
151,5ed4c91a8839f9000906ea7d,1,23,1,2,4
152,5f2c3cb1c58e050be52d9161,2,19,1,1,3
153,5e2c5551d552bb27df0f1c49,2,28,3,2,4
154,5f2f0ac775b91d2e1865c1cc,2,20,1,2,1
155,5f458cb79f9aa31a7d7ab81b,2,33,1,2,1
156,5eb2cbc1ae4f540651e69bce,2,18,1,2,1
157,5f6b941a3e4f640b67930fcc,2,37,1,2,3
158,5f3108bd8d9874582916bcc0,2,22,1,2,1
159,5ee4015a014f5a0ffa6b63a8,2,21,Other,2,1
160,5e963ddd048d680ba618baa7,2,21,1,2,1
161,5f2ed39287147c26d90136ea,2,22,3,2,3
162,5eabdca70869fc1b8c935e3c,2,35,1,2,4
163,5e98a2f1430baa0d877dea6d,1,30,1,2,2
164,5d42c0949ad09e00010800be,1,24,1,2,3
165,5f6143cb6514990cf7b8e651,2,29,1,2,4
166,5f2c1ecd3fa61f0655cf9632,2,27,1,2,Other
167,5f1725b16e58fa0316af9bfb,2,34,4,1,4
168,5f2db2042d7fa50d1f04aabb,1,23,1,2,1
169,5f74d85251027810e4b38e7b,2,22,2,1,1
170,5f5b51aed56e3126fa342fd0,2,20,1,2,1
171,5f381a1ff63ea82f1de9b813,2,41,1,1,4
172,5c699cdc707a740001032fd5,2,27,1,2,4
173,5e3c042ae26e66032c857850,1,19,1,1,1
174,5bbb5bec156e0400017fa212,1,22,1,2,1
175,5f14988e93d2ed16db071d0d,2,18,1,2,1
176,5ea1fcf9dfd09210e8645727,2,26,4,1,3
177,5f25c4e188fe3a29b15a3af0,1,20,1,2,1
178,5f439ac86b921f5fac4f55ad,2,19,1,1,1
179,5ebbcea7b4bac802f74c07fc,NA,18,1,2,Other
180,5c1b822abdb7e80001834a09,2,20,1,2,1
181,5f0cbee36c85756bb8f15a25,1,20,1,2,1
182,5f0df27c055def06805f25ed,2,23,1,2,1
183,5e79dbbf826b65000b6d87a1,2,21,1,2,1
184,5ed2ccbaf064eb0eb69e7964,2,18,1,2,Other
185,5f15c6373bd76c23d8db8fec,2,24,1,2,3
186,5f62f7469171dd24572bdfd5,2,21,1,2,3
187,5bb20c4ce05c350001ef337e,1,65,1,2,1
188,5c182af69bce3100018a0f5d,1,22,1,2,1
189,5f4406dce4e1ec6faed7f808,1,20,1,2,1
190,5ed63a6d50ece703aa7bffb9,2,25,2,1,3
191,5f0efb31b8c224013ddc77a3,2,18,1,2,1
192,5f5a1422a00921058980591e,2,20,1,2,1
193,5ec2c5ce3ec49b0dcbc4264e,2,27,1,2,1
194,5b7f17a7338a93000155a36d,1,20,1,1,2
195,5d5bdb596522080015f675b5,2,23,1,2,1
196,5f63584d619a4d00080c3237,2,21,1,2,2
197,5f080e8b0443ac231a298701,2,28,1,2,1
198,5edfeebaecf5a0318788d731,2,38,1,1,1
199,5ed21b2edbe89b000942109b,2,26,1,2,1
200,5ef51de92a8ed116654bc910,1,26,4,1,4
201,5edbd8c9ec975e0955b42302,2,20,1,2,1
202,5c9cb670b472d0001295f377,2,64,1,2,2
203,5f26cf28d7154e44d762f9d2,1,50,1,2,1
204,5f0587311c76c3013177725d,2,19,1,2,3
